                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3579,                 2.5402,                0.88273,                0.60085,                 0.9186,                0.60064,                0.40518,                 1.1225,                 3.1306,                0.80153,                0.00036,                0.00036,                0.00036
                      2,                 1.1545,                0.69576,                 0.8341,                 0.5088,                0.90698,                0.50279,                0.33532,                 1.0974,                 6.4039,                0.80458,              0.0007107,              0.0007107,              0.0007107
                      3,                 1.0964,                0.59936,                0.82525,                0.96412,                0.97093,                0.97922,                 0.6687,                 1.1034,                0.67532,                 0.8013,              0.0010313,              0.0010313,              0.0010313
                      4,                 1.0234,                0.54273,                0.81966,                0.98734,                0.97093,                0.97521,                 0.7209,                 0.9394,                0.55687,                0.78708,              0.0013218,              0.0013218,              0.0013218
                      5,                 1.0095,                0.53024,                0.81835,                0.99318,                0.96512,                0.98174,                0.70096,                 1.0053,                 0.5239,                0.80481,              0.0015822,              0.0015822,              0.0015822
                      6,                0.97785,                0.49008,                0.81744,                0.98716,                0.97093,                 0.9775,                0.72965,                 0.9388,                0.48692,                 0.7936,               0.001604,               0.001604,               0.001604
                      7,                0.92848,                0.49628,                0.81316,                0.98215,                0.97093,                0.98406,                0.72364,                0.93113,                0.49826,                0.79666,              0.0015248,              0.0015248,              0.0015248
                      8,                0.99514,                0.49433,                0.81554,                0.99408,                0.97695,                0.98743,                 0.7724,                0.84128,                0.44026,                0.78282,              0.0014456,              0.0014456,              0.0014456
                      9,                0.87579,                0.45229,                0.80747,                0.99891,                0.97093,                0.98666,                0.74729,                 0.8867,                0.47362,                0.78313,              0.0013664,              0.0013664,              0.0013664
                     10,                0.89338,                0.46652,                0.80951,                  0.992,                0.97674,                0.99105,                0.76976,                  0.848,                0.47021,                0.78429,              0.0012872,              0.0012872,              0.0012872
                     11,                0.82646,                0.43302,                0.80472,                0.99938,                0.96512,                0.98632,                0.80322,                0.78362,                0.42751,                0.77745,               0.001208,               0.001208,               0.001208
                     12,                0.78159,                0.41688,                0.80282,                0.99399,                0.96119,                 0.9856,                0.77436,                0.83217,                0.42359,                0.78532,              0.0011288,              0.0011288,              0.0011288
                     13,                0.80389,                0.41911,                0.79467,                      1,                0.96979,                0.98472,                0.79684,                0.74936,                0.41519,                 0.7765,              0.0010496,              0.0010496,              0.0010496
                     14,                0.74282,                0.39592,                0.79441,                0.99218,                0.96512,                0.97934,                0.80095,                0.76126,                0.39799,                0.78239,              0.0009704,              0.0009704,              0.0009704
                     15,                0.74872,                0.39005,                 0.7951,                  0.994,                0.96267,                0.98159,                0.80926,                0.72731,                0.38854,                0.77933,              0.0008912,              0.0008912,              0.0008912
                     16,                0.68671,                0.38538,                0.79171,                0.99972,                 0.9593,                0.98246,                0.80075,                0.76778,                0.40005,                0.77762,               0.000812,               0.000812,               0.000812
                     17,                0.69428,                0.37817,                 0.8027,                0.99384,                 0.9593,                0.98196,                0.82378,                0.73219,                0.39266,                0.77528,              0.0007328,              0.0007328,              0.0007328
                     18,                0.66755,                0.36605,                0.78491,                0.98644,                0.95349,                0.97979,                0.80599,                0.74049,                 0.3737,                0.77983,              0.0006536,              0.0006536,              0.0006536
                     19,                0.66409,                0.36842,                 0.7875,                0.99939,                 0.9593,                0.98179,                0.80956,                0.74101,                0.38548,                0.78361,              0.0005744,              0.0005744,              0.0005744
                     20,                0.63611,                0.35345,                0.79119,                0.99296,                0.96512,                0.98224,                0.81309,                0.74392,                0.38596,                0.78036,              0.0004952,              0.0004952,              0.0004952
                     21,                0.59423,                0.34216,                0.78191,                  0.994,                0.96313,                0.98182,                0.81678,                0.69924,                0.36115,                0.77744,               0.000416,               0.000416,               0.000416
                     22,                0.59907,                0.33605,                0.78487,                0.98568,                0.95349,                 0.9814,                0.81411,                0.69279,                0.36049,                0.77779,              0.0003368,              0.0003368,              0.0003368
                     23,                0.56982,                0.31965,                0.78489,                0.99787,                 0.9593,                0.98673,                0.81851,                0.68728,                0.35825,                0.77676,              0.0002576,              0.0002576,              0.0002576
                     24,                0.55438,                0.31282,                0.78377,                0.99756,                 0.9593,                 0.9875,                0.82699,                0.67061,                0.35196,                0.77498,              0.0001784,              0.0001784,              0.0001784
                     25,                0.53952,                 0.3078,                0.78691,                0.99754,                 0.9593,                0.98333,                0.82365,                0.67944,                0.34236,                0.77615,               9.92e-05,               9.92e-05,               9.92e-05
