                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83598,                 2.5112,                  1.172,                0.47257,                0.38037,                0.43722,                0.33885,                0.87755,                 2.1759,                 1.2177,             0.00038341,             0.00038341,             0.00038341
                      2,                0.83708,                 1.6057,                 1.1199,                0.84784,                0.38039,                0.45374,                0.34678,                0.85836,                 2.1121,                 1.2015,             0.00076798,             0.00076798,             0.00076798
                      3,                0.91717,                 1.4785,                 1.1506,                0.68789,                0.46397,                 0.5587,                0.42165,                0.92892,                 1.7667,                 1.4062,              0.0011367,              0.0011367,              0.0011367
                      4,                0.81294,                 1.2746,                 1.1068,                0.66349,                0.37243,                0.42546,                0.28715,                 1.2993,                 2.0796,                 1.5743,              0.0014896,              0.0014896,              0.0014896
                      5,                0.86552,                 1.2603,                 1.1282,                0.55831,                0.54355,                0.53665,                0.36654,                 1.1603,                 1.8501,                 1.5491,               0.001535,               0.001535,               0.001535
                      6,                0.88039,                 1.2442,                   1.14,                0.63812,                0.65013,                0.65895,                0.47688,                0.96169,                 1.4497,                 1.2371,               0.001502,               0.001502,               0.001502
                      7,                0.84702,                 1.1072,                  1.111,                0.68028,                0.51382,                0.61195,                0.43997,                 1.0487,                 1.9102,                 1.3311,               0.001469,               0.001469,               0.001469
                      8,                0.84338,                 1.0989,                 1.1131,                0.75797,                0.66041,                0.73334,                0.51341,                0.92614,                 1.4115,                 1.2264,               0.001436,               0.001436,               0.001436
                      9,                0.81309,                 1.0307,                 1.0993,                0.78148,                 0.6658,                0.76559,                0.55078,                0.90957,                 1.1407,                 1.2566,              0.0014029,              0.0014029,              0.0014029
                     10,                0.82601,                0.99102,                 1.1069,                0.77972,                0.76761,                0.78952,                0.60598,                0.88437,                0.99566,                 1.2255,              0.0013699,              0.0013699,              0.0013699
                     11,                0.77986,                0.95142,                 1.0655,                 0.6768,                 0.7251,                0.73118,                0.54326,                0.78479,                 1.1053,                 1.1257,              0.0013369,              0.0013369,              0.0013369
                     12,                0.77999,                0.92421,                 1.0914,                0.75463,                 0.8029,                0.84166,                0.63435,                0.83013,                 1.0356,                 1.1583,              0.0013039,              0.0013039,              0.0013039
                     13,                0.78113,                0.86784,                  1.068,                0.74976,                0.77358,                0.75651,                0.55674,                0.89511,                 1.1313,                 1.2506,              0.0012709,              0.0012709,              0.0012709
                     14,                0.79208,                0.89734,                 1.1026,                0.72745,                0.67187,                 0.7167,                0.56907,                0.76903,                0.94367,                 1.1279,              0.0012379,              0.0012379,              0.0012379
                     15,                0.76612,                0.87736,                 1.0697,                0.74937,                0.64256,                0.73731,                0.56563,                0.77366,                  1.046,                 1.1197,              0.0012049,              0.0012049,              0.0012049
