                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.82743,                 2.6376,                 1.1854,                0.30101,                0.35626,                0.27614,                0.17955,                 1.2638,                 2.9978,                 1.4949,             0.00032867,             0.00032867,             0.00032867
                      2,                 0.8238,                 1.6578,                 1.1249,                0.65279,                0.51785,                0.57955,                0.44434,                0.92753,                 2.1057,                 1.2682,             0.00065833,             0.00065833,             0.00065833
                      3,                 0.8672,                 1.4655,                 1.1364,                0.57729,                0.43887,                 0.4941,                0.36867,                 1.0004,                 2.0691,                 1.4456,             0.00097441,             0.00097441,             0.00097441
                      4,                0.82051,                 1.3067,                  1.126,                0.73033,                0.57866,                0.67217,                0.43982,                 1.0415,                 1.8483,                 1.3081,              0.0012769,              0.0012769,              0.0012769
                      5,                0.85359,                 1.2691,                 1.1317,                0.78564,                0.68822,                0.74901,                0.52453,                0.95657,                 1.6305,                 1.2748,              0.0013158,              0.0013158,              0.0013158
                      6,                0.86154,                 1.2692,                 1.1405,                0.62149,                  0.736,                0.67446,                0.47965,                0.93272,                 1.6028,                 1.2688,              0.0012875,              0.0012875,              0.0012875
                      7,                0.80964,                 1.1264,                 1.0969,                0.69555,                0.61884,                0.70606,                0.48708,                0.99758,                 1.8865,                 1.3349,              0.0012592,              0.0012592,              0.0012592
                      8,                0.80997,                 1.1356,                  1.097,                0.66254,                0.67088,                 0.6672,                0.50909,                0.85608,                 1.4527,                 1.2775,              0.0012309,              0.0012309,              0.0012309
                      9,                0.80888,                 1.0449,                 1.0895,                0.57755,                0.73294,                0.61356,                0.47632,                0.77034,                 1.4944,                 1.1376,              0.0012026,              0.0012026,              0.0012026
                     10,                0.79941,                 1.0153,                 1.0945,                0.77382,                0.74875,                0.78446,                0.58442,                0.83447,                 1.0488,                 1.1291,              0.0011744,              0.0011744,              0.0011744
                     11,                0.77002,                0.98488,                 1.0755,                0.72425,                0.66976,                0.76481,                0.55928,                0.80184,                 1.0228,                 1.1052,              0.0011461,              0.0011461,              0.0011461
                     12,                0.74275,                0.89345,                 1.0785,                0.71514,                0.77806,                  0.784,                0.57832,                0.90276,                 1.1783,                 1.2382,              0.0011178,              0.0011178,              0.0011178
                     13,                0.76689,                0.88365,                 1.0552,                0.81887,                0.75422,                0.85096,                0.65187,                   0.74,                0.91909,                 1.1098,              0.0010895,              0.0010895,              0.0010895
                     14,                0.75718,                0.88371,                 1.0854,                0.66761,                0.74844,                0.73235,                0.56631,                0.72949,                 0.9155,                 1.0667,              0.0010612,              0.0010612,              0.0010612
                     15,                0.71956,                0.84727,                 1.0354,                0.85261,                0.73784,                0.82295,                0.65321,                0.76122,                0.76567,                 1.0959,              0.0010329,              0.0010329,              0.0010329
                     16,                0.74459,                0.79873,                 1.0659,                0.78553,                0.74494,                0.83983,                0.64429,                0.70629,                0.75464,                 1.0637,              0.0010046,              0.0010046,              0.0010046
                     17,                0.71843,                0.76589,                 1.0425,                0.78764,                0.70698,                0.79262,                0.62855,                0.67701,                0.86488,                 1.0402,             0.00097629,             0.00097629,             0.00097629
                     18,                0.68293,                 0.7256,                 1.0254,                0.88278,                0.63946,                 0.7452,                0.58248,                0.80344,                0.97102,                 1.1586,               0.000948,               0.000948,               0.000948
                     19,                0.69316,                0.71835,                 1.0285,                 0.7672,                0.77461,                0.81411,                0.62782,                0.72967,                0.76495,                 1.0969,              0.0009197,              0.0009197,              0.0009197
                     20,                0.69984,                0.73228,                 1.0408,                0.67882,                0.77262,                0.76961,                0.58437,                0.74003,                0.92246,                  1.086,             0.00089141,             0.00089141,             0.00089141
                     21,                0.72087,                0.73193,                 1.0515,                0.89178,                0.66757,                0.79889,                0.63079,                0.69873,                0.85328,                 1.0816,             0.00086312,             0.00086312,             0.00086312
                     22,                0.67833,                0.65676,                 1.0252,                0.83126,                0.71834,                 0.7872,                0.63673,                0.67591,                0.89711,                 1.1035,             0.00083482,             0.00083482,             0.00083482
                     23,                0.64493,                 0.6584,                 1.0011,                0.77409,                0.79287,                0.81251,                0.64883,                0.65804,                0.68413,                 1.0644,             0.00080653,             0.00080653,             0.00080653
                     24,                0.64067,                0.65654,                 1.0211,                0.83602,                0.74312,                0.82077,                0.65347,                0.65709,                0.69978,                 1.0293,             0.00077823,             0.00077823,             0.00077823
                     25,                0.64891,                0.63751,                 1.0009,                0.86168,                0.73373,                0.85167,                0.68594,                0.62612,                0.62641,                 1.0307,             0.00074994,             0.00074994,             0.00074994
                     26,                0.63448,                0.61312,                 1.0147,                0.75891,                0.86574,                0.86709,                0.70058,                0.63159,                   0.68,                 1.0246,             0.00072164,             0.00072164,             0.00072164
                     27,                0.63541,                0.60087,                 1.0082,                0.85764,                0.77182,                0.82791,                0.67748,                0.66688,                0.69012,                 1.0552,             0.00069335,             0.00069335,             0.00069335
                     28,                0.61167,                0.57477,                 1.0015,                0.80214,                0.78504,                0.84582,                0.69973,                0.61629,                0.67604,                 1.0004,             0.00066506,             0.00066506,             0.00066506
                     29,                0.61366,                0.56824,                0.99913,                0.80233,                0.78097,                0.83365,                0.68528,                0.60874,                0.70877,                 1.0003,             0.00063676,             0.00063676,             0.00063676
                     30,                0.61474,                0.58329,                 1.0108,                0.78263,                0.76971,                0.80515,                0.65396,                0.64004,                0.71705,                 1.0395,             0.00060847,             0.00060847,             0.00060847
                     31,                0.59925,                0.54129,                0.98519,                0.89851,                 0.7444,                0.85844,                 0.6903,                0.59171,                0.60526,                 1.0132,             0.00058017,             0.00058017,             0.00058017
                     32,                0.58209,                0.53182,                0.98114,                0.78422,                0.83146,                0.84432,                0.69696,                0.56601,                0.59418,                0.98229,             0.00055188,             0.00055188,             0.00055188
                     33,                0.57445,                0.54024,                 0.9865,                0.88637,                0.77148,                0.86361,                0.71135,                0.56738,                0.57552,                0.97092,             0.00052359,             0.00052359,             0.00052359
                     34,                0.59742,                  0.547,                0.99292,                0.82891,                 0.8039,                0.86086,                0.71187,                  0.592,                0.60773,                0.98055,             0.00049529,             0.00049529,             0.00049529
                     35,                0.57762,                0.51408,                0.98583,                0.80631,                 0.8163,                0.84219,                0.69139,                0.59853,                0.60319,                0.99045,               0.000467,               0.000467,               0.000467
                     36,                0.58192,                0.53055,                0.99296,                0.86038,                0.80252,                0.84125,                0.70374,                 0.5369,                0.61025,                0.95557,              0.0004387,              0.0004387,              0.0004387
                     37,                0.57088,                0.51803,                0.99027,                0.85336,                0.78887,                0.85185,                0.71478,                0.54854,                0.59899,                0.96509,             0.00041041,             0.00041041,             0.00041041
                     38,                0.56729,                0.51808,                0.99526,                0.86063,                0.78775,                0.84448,                0.68844,                0.60691,                0.61567,                0.99762,             0.00038211,             0.00038211,             0.00038211
                     39,                0.54305,                0.47863,                0.96029,                0.81541,                0.80402,                0.82068,                0.69044,                0.58383,                0.64902,                0.99074,             0.00035382,             0.00035382,             0.00035382
                     40,                0.53609,                0.47217,                0.96512,                0.81382,                0.80402,                0.82208,                0.69842,                0.56405,                0.61482,                0.97407,             0.00032553,             0.00032553,             0.00032553
                     41,                0.43785,                0.41105,                0.88234,                0.90723,                0.76179,                0.82425,                0.69663,                0.56918,                0.59973,                0.95678,             0.00029723,             0.00029723,             0.00029723
                     42,                0.42787,                0.41843,                0.87319,                0.80673,                0.80193,                0.83938,                 0.7074,                0.54397,                0.56773,                0.95559,             0.00026894,             0.00026894,             0.00026894
                     43,                0.43318,                0.38946,                0.87629,                0.77509,                0.76726,                0.83184,                0.70176,                0.53582,                0.62596,                0.93717,             0.00024064,             0.00024064,             0.00024064
                     44,                0.41821,                0.39207,                0.86158,                0.78503,                0.79967,                0.83063,                0.70418,                0.52725,                0.61402,                0.93985,             0.00021235,             0.00021235,             0.00021235
                     45,                0.41177,                0.38297,                0.86375,                 0.8219,                0.79967,                0.82377,                 0.6961,                0.52626,                0.59868,                0.95424,             0.00018406,             0.00018406,             0.00018406
                     46,                0.39866,                0.35763,                0.85323,                0.84742,                0.78887,                0.82868,                0.69286,                0.52549,                0.58422,                0.95432,             0.00015576,             0.00015576,             0.00015576
                     47,                0.38915,                0.37329,                0.85371,                0.86747,                0.79967,                0.83875,                0.70323,                0.52953,                0.58459,                0.95656,             0.00012747,             0.00012747,             0.00012747
                     48,                0.37078,                0.34387,                0.83883,                0.87816,                0.78289,                 0.8306,                0.70044,                0.52815,                0.58633,                 0.9558,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 0.3709,                0.33866,                0.85245,                0.86457,                0.78452,                0.83089,                0.70379,                0.52383,                0.58623,                0.95408,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.36714,                0.33961,                0.84909,                 0.8724,                0.77694,                0.84183,                0.71286,                0.51712,                0.57887,                0.95227,             4.2584e-05,             4.2584e-05,             4.2584e-05
