                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98214,                0.79396,                0.85495,                0.39561,                0.45768,                0.41776,                  0.283,                 1.7069,                 2.0919,                 1.1706,             0.00027151,             0.00027151,             0.00027151
                      2,                0.93492,                0.65009,                0.85865,                0.43613,                0.46713,                0.43455,                0.29367,                 1.5949,                 1.3248,                 1.1254,             0.00055179,             0.00055179,             0.00055179
                      3,                0.96441,                0.62487,                0.86391,                0.75693,                0.47944,                0.45936,                0.30476,                 1.5386,                 1.2077,                 1.0926,             0.00082642,             0.00082642,             0.00082642
                      4,                0.92528,                0.57075,                0.83803,                0.80518,                  0.488,                0.52235,                0.33235,                 1.5458,                 1.1258,                 1.0973,              0.0010954,              0.0010954,              0.0010954
                      5,                0.99117,                 0.5888,                0.84698,                0.85469,                0.46668,                 0.5464,                 0.3253,                 1.5647,                 1.1599,                 1.0862,              0.0013587,              0.0013587,              0.0013587
                      6,                0.97283,                0.59738,                0.85232,                0.80117,                0.49987,                 0.5385,                0.33721,                 1.4883,                 1.1011,                 1.0627,              0.0013583,              0.0013583,              0.0013583
                      7,                0.99998,                0.59617,                 0.8509,                0.78529,                0.56293,                0.54417,                0.33832,                 1.5117,                 1.0368,                 1.0784,              0.0013441,              0.0013441,              0.0013441
                      8,                0.87978,                0.52048,                0.82788,                0.85114,                0.46341,                0.55264,                0.34348,                 1.5048,                 1.0162,                 1.0848,                0.00133,                0.00133,                0.00133
                      9,                0.89623,                0.51727,                0.83338,                0.84992,                0.50746,                0.56326,                0.34805,                 1.4836,                 0.9614,                 1.0681,              0.0013158,              0.0013158,              0.0013158
                     10,                0.89207,                0.52341,                0.82982,                0.90189,                0.49206,                0.59423,                0.36187,                 1.4729,                0.99063,                  1.072,              0.0013017,              0.0013017,              0.0013017
                     11,                0.91997,                0.56421,                0.84906,                0.85641,                0.52264,                 0.5938,                0.36118,                 1.5218,                0.98646,                 1.0866,              0.0012875,              0.0012875,              0.0012875
                     12,                0.91249,                0.56546,                0.84504,                 0.8599,                0.50317,                0.59089,                0.35644,                  1.486,                  1.055,                 1.0724,              0.0012734,              0.0012734,              0.0012734
                     13,                0.92527,                0.54702,                0.84725,                0.80885,                0.53514,                0.55703,                0.33469,                 1.5063,                 1.1711,                 1.0743,              0.0012592,              0.0012592,              0.0012592
                     14,                0.92321,                0.55818,                0.85281,                0.82698,                0.55887,                0.63134,                0.36759,                 1.5064,                 1.0605,                 1.0829,              0.0012451,              0.0012451,              0.0012451
                     15,                 0.9273,                0.54832,                0.84868,                0.50032,                0.69656,                0.62214,                 0.3444,                 1.5809,                 1.0249,                 1.0926,              0.0012309,              0.0012309,              0.0012309
                     16,                0.93924,                0.53327,                0.84802,                 0.5425,                0.70271,                0.62534,                0.35751,                 1.5434,                 1.0194,                 1.0985,              0.0012168,              0.0012168,              0.0012168
                     17,                0.92126,                0.51574,                0.84646,                0.57944,                0.71113,                0.65217,                0.38322,                 1.4961,                0.97501,                  1.088,              0.0012026,              0.0012026,              0.0012026
                     18,                0.87269,                0.51135,                0.84031,                0.59005,                0.69506,                 0.6363,                 0.3674,                 1.4938,                0.99905,                 1.0944,              0.0011885,              0.0011885,              0.0011885
                     19,                0.85161,                0.46966,                0.82957,                0.61625,                0.70857,                0.64212,                0.37323,                 1.5041,                0.96318,                 1.0943,              0.0011744,              0.0011744,              0.0011744
                     20,                0.83901,                0.49328,                0.82707,                0.59882,                0.65377,                0.61858,                0.35982,                 1.5303,                0.98278,                 1.0947,              0.0011602,              0.0011602,              0.0011602
                     21,                0.86737,                0.48404,                  0.822,                0.54842,                 0.7677,                0.63565,                0.36764,                 1.4759,                  1.037,                  1.083,              0.0011461,              0.0011461,              0.0011461
                     22,                0.85295,                0.48265,                  0.836,                0.65962,                0.60708,                0.62869,                0.38396,                 1.4485,                0.97716,                  1.085,              0.0011319,              0.0011319,              0.0011319
                     23,                0.86559,                0.48148,                0.83219,                0.59278,                0.78169,                0.61964,                0.37354,                 1.4935,                 1.1265,                 1.0937,              0.0011178,              0.0011178,              0.0011178
                     24,                0.82302,                0.46685,                 0.8166,                0.67981,                0.68605,                 0.6616,                0.39702,                 1.5261,                0.97353,                 1.0985,              0.0011036,              0.0011036,              0.0011036
                     25,                0.84572,                 0.4723,                0.83917,                0.58457,                0.70722,                0.66785,                0.39181,                 1.5258,                0.98035,                 1.0912,              0.0010895,              0.0010895,              0.0010895
                     26,                 0.8664,                 0.4876,                0.83888,                0.72738,                0.67089,                0.67956,                0.39993,                 1.5145,                 1.0399,                 1.0946,              0.0010753,              0.0010753,              0.0010753
                     27,                0.83399,                0.47863,                0.83242,                0.60407,                0.66938,                0.66597,                0.38753,                 1.5308,                0.98441,                 1.0986,              0.0010612,              0.0010612,              0.0010612
                     28,                0.82873,                0.47286,                0.83087,                0.64698,                0.70347,                0.63338,                0.37069,                  1.556,                 1.0746,                 1.1008,               0.001047,               0.001047,               0.001047
                     29,                0.82002,                0.45507,                0.83123,                0.70019,                0.61632,                0.67721,                0.39201,                 1.5313,                0.92899,                 1.1088,              0.0010329,              0.0010329,              0.0010329
                     30,                0.83803,                 0.4584,                0.82522,                 0.7053,                0.65542,                0.66946,                0.37544,                 1.5938,                 0.9932,                 1.1203,              0.0010187,              0.0010187,              0.0010187
                     31,                0.81046,                 0.4482,                0.83135,                0.66551,                0.66166,                0.68271,                0.39107,                 1.5609,                0.98325,                 1.1088,              0.0010046,              0.0010046,              0.0010046
                     32,                0.78184,                0.44537,                0.82372,                0.62911,                0.73991,                0.67982,                0.38964,                 1.5631,                 1.0013,                 1.1166,             0.00099044,             0.00099044,             0.00099044
                     33,                 0.8109,                0.47161,                0.83128,                 0.7727,                0.61274,                0.66613,                0.38105,                 1.6051,                 1.0076,                 1.1366,             0.00097629,             0.00097629,             0.00097629
                     34,                0.82162,                0.47692,                0.82684,                0.69035,                0.68012,                 0.6623,                0.37811,                  1.515,                 1.0573,                 1.0932,             0.00096215,             0.00096215,             0.00096215
                     35,                0.79556,                0.44534,                0.82588,                0.62155,                0.65707,                0.62051,                0.36231,                 1.5839,                 0.9492,                 1.1304,               0.000948,               0.000948,               0.000948
                     36,                0.78633,                0.43784,                0.82228,                0.60917,                0.69201,                0.65889,                0.38257,                 1.5242,                 1.0923,                 1.0969,             0.00093385,             0.00093385,             0.00093385
                     37,                0.81513,                 0.4622,                0.83214,                0.64863,                0.62473,                0.62056,                 0.3781,                 1.5004,                0.95668,                 1.1153,              0.0009197,              0.0009197,              0.0009197
                     38,                0.79705,                0.44776,                0.82875,                0.70733,                0.65996,                0.67754,                    0.4,                 1.5034,                 1.0346,                 1.1074,             0.00090556,             0.00090556,             0.00090556
                     39,                0.82841,                0.45659,                0.83353,                0.65844,                0.66759,                0.63357,                0.37119,                 1.5886,                0.92369,                 1.1437,             0.00089141,             0.00089141,             0.00089141
                     40,                 0.7692,                0.42229,                0.81791,                0.64749,                0.66152,                0.64065,                0.37557,                 1.5677,                0.97192,                 1.1351,             0.00087726,             0.00087726,             0.00087726
                     41,                0.76746,                0.42861,                 0.8185,                0.66868,                0.69502,                0.67836,                0.39436,                 1.5581,                0.92706,                 1.1376,             0.00086312,             0.00086312,             0.00086312
                     42,                0.78913,                0.43633,                0.82139,                0.67834,                0.68005,                0.69079,                0.41179,                 1.5261,                0.92093,                  1.128,             0.00084897,             0.00084897,             0.00084897
                     43,                0.78847,                0.43508,                 0.8304,                0.66619,                0.71354,                0.68016,                0.38666,                 1.5538,                 0.9046,                 1.1329,             0.00083482,             0.00083482,             0.00083482
                     44,                0.76013,                0.43037,                0.82865,                0.68193,                 0.6847,                0.68846,                0.38947,                  1.529,                0.89776,                 1.1204,             0.00082067,             0.00082067,             0.00082067
                     45,                0.75746,                0.42583,                0.81725,                0.73047,                  0.688,                0.67525,                0.39649,                 1.5597,                0.94353,                 1.1237,             0.00080653,             0.00080653,             0.00080653
